"AGENCY 0","DATA 0","DATA TYPE 0","LOCATION 0","LOCATION TYPE 0","SOURCE 0","SOURCE TYPE 0","SUBJECT 0","TIME 0","TIME TYPE 0"
"National Centers for Environmental Information","0.12","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1979-10","ISO_DATE"
"National Centers for Environmental Information","0.92","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2010-07","ISO_DATE"
"National Centers for Environmental Information","1.04","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2010-08","ISO_DATE"
"National Centers for Environmental Information","0.61","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2010-10","ISO_DATE"
"National Centers for Environmental Information","1.11","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1915-07","ISO_DATE"
"National Centers for Environmental Information","0.09","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1978-06","ISO_DATE"
"National Centers for Environmental Information","0.24","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1953-01","ISO_DATE"
"National Centers for Environmental Information","0.0","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","2019-10","ISO_DATE"
"National Centers for Environmental Information","1.27","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1899-07","ISO_DATE"
"National Centers for Environmental Information","0.12","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1986-06","ISO_DATE"
"National Centers for Environmental Information","0.01","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1929-06","ISO_DATE"
"National Centers for Environmental Information","0.09","STRING","Maricopa","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/","URL","Precipitation MA Split By FIPS","1929-10","ISO_DATE"
